iter	Passed	Remaining
0	0	43
1	0	40
2	1	39
3	1	35
4	1	35
5	2	35
6	2	34
7	3	35
8	3	35
9	4	36
10	4	36
11	4	35
12	5	35
13	5	34
14	6	34
15	6	34
16	6	33
17	7	33
18	7	32
19	8	32
20	8	31
21	8	31
22	9	30
23	9	29
24	9	29
25	10	28
26	10	28
27	10	27
28	11	27
29	11	26
30	11	26
31	12	25
32	12	25
33	12	25
34	13	24
35	13	24
36	13	23
37	14	23
38	14	23
39	15	22
40	15	22
41	15	21
42	16	21
43	16	20
44	16	20
45	17	19
46	17	19
47	17	19
48	18	18
49	18	18
50	18	18
51	19	17
52	19	17
53	19	16
54	20	16
55	20	16
56	20	15
57	21	15
58	21	15
59	22	14
60	22	14
61	22	13
62	23	13
63	23	13
64	23	12
65	24	12
66	24	12
67	24	11
68	25	11
69	25	10
70	25	10
71	26	10
72	26	9
73	26	9
74	27	9
75	27	8
76	28	8
77	28	7
78	28	7
79	29	7
80	29	6
81	29	6
82	30	6
83	30	5
84	30	5
85	31	5
86	31	4
87	31	4
88	32	3
89	32	3
90	32	3
91	33	2
92	33	2
93	33	2
94	34	1
95	34	1
96	34	1
97	35	0
98	35	0
99	35	0
